Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Influenza A virus genome assembly, segment: 6",2604,2604,100%,0.0,100.00,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283210.1?report=genbank&log$=nucltop&blast_rank=1&RID=CWE8R2JB013"",""OY283210.1"")"
"Influenza A virus genome assembly, segment: 6",2604,2604,100%,0.0,100.00,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX458443.1?report=genbank&log$=nucltop&blast_rank=2&RID=CWE8R2JB013"",""OX458443.1"")"
"Influenza A virus genome assembly, segment: 6",2604,2604,100%,0.0,100.00,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX393797.1?report=genbank&log$=nucltop&blast_rank=3&RID=CWE8R2JB013"",""OX393797.1"")"
"Influenza A virus genome assembly, segment: 6",2604,2604,100%,0.0,100.00,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387559.1?report=genbank&log$=nucltop&blast_rank=4&RID=CWE8R2JB013"",""OX387559.1"")"
"Influenza A virus genome assembly, segment: 6",2604,2604,100%,0.0,100.00,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387494.1?report=genbank&log$=nucltop&blast_rank=5&RID=CWE8R2JB013"",""OX387494.1"")"
"Influenza A virus genome assembly, segment: 6",2604,2604,100%,0.0,100.00,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387467.1?report=genbank&log$=nucltop&blast_rank=6&RID=CWE8R2JB013"",""OX387467.1"")"
"Influenza A virus genome assembly, segment: 6",2604,2604,100%,0.0,100.00,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387121.1?report=genbank&log$=nucltop&blast_rank=7&RID=CWE8R2JB013"",""OX387121.1"")"
"Influenza A virus genome assembly, segment: 6",2604,2604,100%,0.0,100.00,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387062.1?report=genbank&log$=nucltop&blast_rank=8&RID=CWE8R2JB013"",""OX387062.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13450/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2604,2604,100%,0.0,100.00,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP938864.1?report=genbank&log$=nucltop&blast_rank=9&RID=CWE8R2JB013"",""OP938864.1"")"
"Influenza A virus genome assembly, segment: 6",2604,2604,100%,0.0,100.00,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX381521.1?report=genbank&log$=nucltop&blast_rank=10&RID=CWE8R2JB013"",""OX381521.1"")"
"Influenza A virus (A/Florida/40/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2604,2604,100%,0.0,100.00,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP213141.1?report=genbank&log$=nucltop&blast_rank=11&RID=CWE8R2JB013"",""OP213141.1"")"
"Influenza A virus (A/Maryland/15/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2601,2601,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011107.1?report=genbank&log$=nucltop&blast_rank=12&RID=CWE8R2JB013"",""OR011107.1"")"
"Influenza A virus genome assembly, segment: 6",2601,2601,100%,0.0,99.93,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX453169.1?report=genbank&log$=nucltop&blast_rank=13&RID=CWE8R2JB013"",""OX453169.1"")"
"Influenza A virus (A/New Jersey/43/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2601,2601,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ463365.1?report=genbank&log$=nucltop&blast_rank=14&RID=CWE8R2JB013"",""OQ463365.1"")"
"Influenza A virus genome assembly, segment: 6",2601,2601,100%,0.0,99.93,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419309.1?report=genbank&log$=nucltop&blast_rank=15&RID=CWE8R2JB013"",""OX419309.1"")"
"Influenza A virus genome assembly, segment: 6",2601,2601,100%,0.0,99.93,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419293.1?report=genbank&log$=nucltop&blast_rank=16&RID=CWE8R2JB013"",""OX419293.1"")"
"Influenza A virus genome assembly, segment: 6",2599,2599,100%,0.0,99.93,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283476.1?report=genbank&log$=nucltop&blast_rank=17&RID=CWE8R2JB013"",""OY283476.1"")"
"Influenza A virus genome assembly, segment: 6",2599,2599,100%,0.0,99.93,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283163.1?report=genbank&log$=nucltop&blast_rank=18&RID=CWE8R2JB013"",""OY283163.1"")"
"Influenza A virus genome assembly, segment: 6",2599,2599,100%,0.0,99.93,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283048.1?report=genbank&log$=nucltop&blast_rank=19&RID=CWE8R2JB013"",""OY283048.1"")"
"Influenza A virus genome assembly, segment: 6",2599,2599,100%,0.0,99.93,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283041.1?report=genbank&log$=nucltop&blast_rank=20&RID=CWE8R2JB013"",""OY283041.1"")"
"Influenza A virus genome assembly, segment: 6",2599,2599,100%,0.0,99.93,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282983.1?report=genbank&log$=nucltop&blast_rank=21&RID=CWE8R2JB013"",""OY282983.1"")"
"Influenza A virus genome assembly, segment: 6",2599,2599,100%,0.0,99.93,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282859.1?report=genbank&log$=nucltop&blast_rank=22&RID=CWE8R2JB013"",""OY282859.1"")"
"Influenza A virus genome assembly, segment: 6",2599,2599,100%,0.0,99.93,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282693.1?report=genbank&log$=nucltop&blast_rank=23&RID=CWE8R2JB013"",""OY282693.1"")"
"Influenza A virus (A/New York/21/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201784.1?report=genbank&log$=nucltop&blast_rank=24&RID=CWE8R2JB013"",""OR201784.1"")"
"Influenza A virus (A/New York/21/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201776.1?report=genbank&log$=nucltop&blast_rank=25&RID=CWE8R2JB013"",""OR201776.1"")"
"Influenza A virus (A/Delaware/43/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201425.1?report=genbank&log$=nucltop&blast_rank=26&RID=CWE8R2JB013"",""OR201425.1"")"
"Influenza A virus (A/Delaware/43/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201417.1?report=genbank&log$=nucltop&blast_rank=27&RID=CWE8R2JB013"",""OR201417.1"")"
"Influenza A virus (A/California/43/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201185.1?report=genbank&log$=nucltop&blast_rank=28&RID=CWE8R2JB013"",""OR201185.1"")"
"Influenza A virus (A/California/43/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201177.1?report=genbank&log$=nucltop&blast_rank=29&RID=CWE8R2JB013"",""OR201177.1"")"
"Influenza A virus (A/Utah/06/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR013509.1?report=genbank&log$=nucltop&blast_rank=30&RID=CWE8R2JB013"",""OR013509.1"")"
"Influenza A virus (A/Pennsylvania/27/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR013134.1?report=genbank&log$=nucltop&blast_rank=31&RID=CWE8R2JB013"",""OR013134.1"")"
"Influenza A virus (A/Oregon/18/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR012863.1?report=genbank&log$=nucltop&blast_rank=32&RID=CWE8R2JB013"",""OR012863.1"")"
"Influenza A virus (A/Massachusetts/12/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011250.1?report=genbank&log$=nucltop&blast_rank=33&RID=CWE8R2JB013"",""OR011250.1"")"
"Influenza A virus (A/Massachusetts/03/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011163.1?report=genbank&log$=nucltop&blast_rank=34&RID=CWE8R2JB013"",""OR011163.1"")"
"Influenza A virus (A/Florida/15/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR010245.1?report=genbank&log$=nucltop&blast_rank=35&RID=CWE8R2JB013"",""OR010245.1"")"
"Influenza A virus (A/Delaware/06/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR009918.1?report=genbank&log$=nucltop&blast_rank=36&RID=CWE8R2JB013"",""OR009918.1"")"
"Influenza A virus (A/Maryland/09/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR009075.1?report=genbank&log$=nucltop&blast_rank=37&RID=CWE8R2JB013"",""OR009075.1"")"
"Influenza A virus (A/Massachusetts/USAFSAM-14175/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ992912.1?report=genbank&log$=nucltop&blast_rank=38&RID=CWE8R2JB013"",""OQ992912.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-14128/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ821939.1?report=genbank&log$=nucltop&blast_rank=39&RID=CWE8R2JB013"",""OQ821939.1"")"
"Influenza A virus (A/USA/10049003277/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ797161.1?report=genbank&log$=nucltop&blast_rank=40&RID=CWE8R2JB013"",""OQ797161.1"")"
"Influenza A virus (A/USA/10048969146/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ796884.1?report=genbank&log$=nucltop&blast_rank=41&RID=CWE8R2JB013"",""OQ796884.1"")"
"Influenza A virus (A/Michigan/UOM10048562392/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ754567.1?report=genbank&log$=nucltop&blast_rank=42&RID=CWE8R2JB013"",""OQ754567.1"")"
"Influenza A virus (A/Human/New York City/PV63035/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP433044.1?report=genbank&log$=nucltop&blast_rank=43&RID=CWE8R2JB013"",""OP433044.1"")"
"Influenza A virus (A/Delaware/01/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ669343.1?report=genbank&log$=nucltop&blast_rank=44&RID=CWE8R2JB013"",""OQ669343.1"")"
"Influenza A virus (A/Utah/82/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ667234.1?report=genbank&log$=nucltop&blast_rank=45&RID=CWE8R2JB013"",""OQ667234.1"")"
"Influenza A virus (A/Utah/02/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ667178.1?report=genbank&log$=nucltop&blast_rank=46&RID=CWE8R2JB013"",""OQ667178.1"")"
"Influenza A virus (A/Nevada/09/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ666394.1?report=genbank&log$=nucltop&blast_rank=47&RID=CWE8R2JB013"",""OQ666394.1"")"
"Influenza A virus (A/Nevada/07/2023(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ666386.1?report=genbank&log$=nucltop&blast_rank=48&RID=CWE8R2JB013"",""OQ666386.1"")"
"Influenza A virus (A/Hawaii/62/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ665650.1?report=genbank&log$=nucltop&blast_rank=49&RID=CWE8R2JB013"",""OQ665650.1"")"
"Influenza A virus (A/Colorado/69/2022(H3N2)) segment 6 neuraminidase (NA) gene, complete cds",2599,2599,100%,0.0,99.93,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ664930.1?report=genbank&log$=nucltop&blast_rank=50&RID=CWE8R2JB013"",""OQ664930.1"")"



		


