Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284406.1?report=genbank&log$=nucltop&blast_rank=1&RID=CWE8BBHJ013"",""OY284406.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284234.1?report=genbank&log$=nucltop&blast_rank=2&RID=CWE8BBHJ013"",""OY284234.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1693,40%,0.0,100.00,2337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284202.1?report=genbank&log$=nucltop&blast_rank=3&RID=CWE8BBHJ013"",""OY284202.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284186.1?report=genbank&log$=nucltop&blast_rank=4&RID=CWE8BBHJ013"",""OY284186.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1678,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284154.1?report=genbank&log$=nucltop&blast_rank=5&RID=CWE8BBHJ013"",""OY284154.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1528,36%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284147.1?report=genbank&log$=nucltop&blast_rank=6&RID=CWE8BBHJ013"",""OY284147.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284068.1?report=genbank&log$=nucltop&blast_rank=7&RID=CWE8BBHJ013"",""OY284068.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1658,39%,0.0,100.00,2319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284029.1?report=genbank&log$=nucltop&blast_rank=8&RID=CWE8BBHJ013"",""OY284029.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1658,39%,0.0,100.00,2319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283896.1?report=genbank&log$=nucltop&blast_rank=9&RID=CWE8BBHJ013"",""OY283896.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283800.1?report=genbank&log$=nucltop&blast_rank=10&RID=CWE8BBHJ013"",""OY283800.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283664.1?report=genbank&log$=nucltop&blast_rank=11&RID=CWE8BBHJ013"",""OY283664.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283656.1?report=genbank&log$=nucltop&blast_rank=12&RID=CWE8BBHJ013"",""OY283656.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1528,36%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283472.1?report=genbank&log$=nucltop&blast_rank=13&RID=CWE8BBHJ013"",""OY283472.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283417.1?report=genbank&log$=nucltop&blast_rank=14&RID=CWE8BBHJ013"",""OY283417.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1693,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283374.1?report=genbank&log$=nucltop&blast_rank=15&RID=CWE8BBHJ013"",""OY283374.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1693,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283290.1?report=genbank&log$=nucltop&blast_rank=16&RID=CWE8BBHJ013"",""OY283290.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283000.1?report=genbank&log$=nucltop&blast_rank=17&RID=CWE8BBHJ013"",""OY283000.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1680,40%,0.0,100.00,2339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282954.1?report=genbank&log$=nucltop&blast_rank=18&RID=CWE8BBHJ013"",""OY282954.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282927.1?report=genbank&log$=nucltop&blast_rank=19&RID=CWE8BBHJ013"",""OY282927.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1632,39%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282890.1?report=genbank&log$=nucltop&blast_rank=20&RID=CWE8BBHJ013"",""OY282890.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282839.1?report=genbank&log$=nucltop&blast_rank=21&RID=CWE8BBHJ013"",""OY282839.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1693,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282761.1?report=genbank&log$=nucltop&blast_rank=22&RID=CWE8BBHJ013"",""OY282761.1"")"
