Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284118.1?report=genbank&log$=nucltop&blast_rank=1&RID=CWE8N9HM013"",""OY284118.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284110.1?report=genbank&log$=nucltop&blast_rank=2&RID=CWE8N9HM013"",""OY284110.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283820.1?report=genbank&log$=nucltop&blast_rank=3&RID=CWE8N9HM013"",""OY283820.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283420.1?report=genbank&log$=nucltop&blast_rank=4&RID=CWE8N9HM013"",""OY283420.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283032.1?report=genbank&log$=nucltop&blast_rank=5&RID=CWE8N9HM013"",""OY283032.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282914.1?report=genbank&log$=nucltop&blast_rank=6&RID=CWE8N9HM013"",""OY282914.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282858.1?report=genbank&log$=nucltop&blast_rank=7&RID=CWE8N9HM013"",""OY282858.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282716.1?report=genbank&log$=nucltop&blast_rank=8&RID=CWE8N9HM013"",""OY282716.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282708.1?report=genbank&log$=nucltop&blast_rank=9&RID=CWE8N9HM013"",""OY282708.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX436992.1?report=genbank&log$=nucltop&blast_rank=10&RID=CWE8N9HM013"",""OX436992.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX436966.1?report=genbank&log$=nucltop&blast_rank=11&RID=CWE8N9HM013"",""OX436966.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX422579.1?report=genbank&log$=nucltop&blast_rank=12&RID=CWE8N9HM013"",""OX422579.1"")"
"Influenza A virus genome assembly, segment: 5",2760,2760,100%,0.0,99.93,1566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX416376.1?report=genbank&log$=nucltop&blast_rank=13&RID=CWE8N9HM013"",""OX416376.1"")"
"Influenza A virus (A/Wyoming/21/2022(H3N2)) segment 5 nucleocapsid protein (NP) gene, complete cds",2760,2760,100%,0.0,99.93,1532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ247790.1?report=genbank&log$=nucltop&blast_rank=14&RID=CWE8N9HM013"",""OQ247790.1"")"
"Influenza A virus (A/Wisconsin/86/2022(H3N2)) segment 5 nucleocapsid protein (NP) gene, complete cds",2760,2760,100%,0.0,99.93,1541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ246113.1?report=genbank&log$=nucltop&blast_rank=15&RID=CWE8N9HM013"",""OQ246113.1"")"
