Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Influenza A virus (A/Michigan/106/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3962,3962,100%,0.0,99.91,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011391.1?report=genbank&log$=nucltop&blast_rank=1&RID=CWF123EH013"",""OR011391.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13680/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3962,3962,100%,0.0,99.91,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ317388.1?report=genbank&log$=nucltop&blast_rank=2&RID=CWF123EH013"",""OQ317388.1"")"
"Influenza A virus (A/WA/52234/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3962,3962,100%,0.0,99.91,2222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ180226.1?report=genbank&log$=nucltop&blast_rank=3&RID=CWF123EH013"",""OQ180226.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284211.1?report=genbank&log$=nucltop&blast_rank=4&RID=CWF123EH013"",""OY284211.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284048.1?report=genbank&log$=nucltop&blast_rank=5&RID=CWF123EH013"",""OY284048.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283538.1?report=genbank&log$=nucltop&blast_rank=6&RID=CWF123EH013"",""OY283538.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283112.1?report=genbank&log$=nucltop&blast_rank=7&RID=CWF123EH013"",""OY283112.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED90/2022(H3)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ764761.1?report=genbank&log$=nucltop&blast_rank=8&RID=CWF123EH013"",""OQ764761.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED75/2022(H3)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ764681.1?report=genbank&log$=nucltop&blast_rank=9&RID=CWF123EH013"",""OQ764681.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED59/2022(H3)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ764609.1?report=genbank&log$=nucltop&blast_rank=10&RID=CWF123EH013"",""OQ764609.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED56/2022(H3)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ764601.1?report=genbank&log$=nucltop&blast_rank=11&RID=CWF123EH013"",""OQ764601.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED60/2022(H3)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ763922.1?report=genbank&log$=nucltop&blast_rank=12&RID=CWF123EH013"",""OQ763922.1"")"
"Influenza A virus (A/Baden-Wurttemberg/USAFSAM-14142/2023(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ821918.1?report=genbank&log$=nucltop&blast_rank=13&RID=CWF123EH013"",""OQ821918.1"")"
"Influenza A virus (A/Nevada/10/2023(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ666399.1?report=genbank&log$=nucltop&blast_rank=14&RID=CWF123EH013"",""OQ666399.1"")"
"Influenza A virus (A/Nevada/07/2023(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ666383.1?report=genbank&log$=nucltop&blast_rank=15&RID=CWF123EH013"",""OQ666383.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX453119.1?report=genbank&log$=nucltop&blast_rank=16&RID=CWF123EH013"",""OX453119.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-14049/2023(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ507033.1?report=genbank&log$=nucltop&blast_rank=17&RID=CWF123EH013"",""OQ507033.1"")"
"Influenza A virus (A/Wisconsin/96/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ465849.1?report=genbank&log$=nucltop&blast_rank=18&RID=CWF123EH013"",""OQ465849.1"")"
"Influenza A virus (A/Pennsylvania/84/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ461514.1?report=genbank&log$=nucltop&blast_rank=19&RID=CWF123EH013"",""OQ461514.1"")"
"Influenza A virus (A/Massachusetts/43/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ461228.1?report=genbank&log$=nucltop&blast_rank=20&RID=CWF123EH013"",""OQ461228.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX436886.1?report=genbank&log$=nucltop&blast_rank=21&RID=CWF123EH013"",""OX436886.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13955/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ368272.1?report=genbank&log$=nucltop&blast_rank=22&RID=CWF123EH013"",""OQ368272.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13931/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ368152.1?report=genbank&log$=nucltop&blast_rank=23&RID=CWF123EH013"",""OQ368152.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13911/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ368024.1?report=genbank&log$=nucltop&blast_rank=24&RID=CWF123EH013"",""OQ368024.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13715/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ317612.1?report=genbank&log$=nucltop&blast_rank=25&RID=CWF123EH013"",""OQ317612.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX416390.1?report=genbank&log$=nucltop&blast_rank=26&RID=CWF123EH013"",""OX416390.1"")"
"Influenza A virus (A/Washington/59/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ247652.1?report=genbank&log$=nucltop&blast_rank=27&RID=CWF123EH013"",""OQ247652.1"")"
"Influenza A virus (A/Hessen/USAFSAM-13526/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ240661.1?report=genbank&log$=nucltop&blast_rank=28&RID=CWF123EH013"",""OQ240661.1"")"
