Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Influenza A virus genome assembly, segment: 7",1814,1814,100%,0.0,100.00,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283797.1?report=genbank&log$=nucltop&blast_rank=1&RID=CWE8T87X013"",""OY283797.1"")"
"Influenza A virus genome assembly, segment: 7",1814,1814,100%,0.0,100.00,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283773.1?report=genbank&log$=nucltop&blast_rank=2&RID=CWE8T87X013"",""OY283773.1"")"
"Influenza A virus genome assembly, segment: 7",1814,1814,100%,0.0,100.00,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419265.1?report=genbank&log$=nucltop&blast_rank=3&RID=CWE8T87X013"",""OX419265.1"")"
"Influenza A virus genome assembly, segment: 7",1814,1814,100%,0.0,100.00,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419260.1?report=genbank&log$=nucltop&blast_rank=4&RID=CWE8T87X013"",""OX419260.1"")"
"Influenza A virus genome assembly, segment: 7",1814,1814,100%,0.0,100.00,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX411496.1?report=genbank&log$=nucltop&blast_rank=5&RID=CWE8T87X013"",""OX411496.1"")"
"Influenza A virus (A/WA/44633/2022(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1814,1814,100%,0.0,100.00,984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ180198.1?report=genbank&log$=nucltop&blast_rank=6&RID=CWE8T87X013"",""OQ180198.1"")"
"Influenza A virus genome assembly, segment: 7",1814,1814,100%,0.0,100.00,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387520.1?report=genbank&log$=nucltop&blast_rank=7&RID=CWE8T87X013"",""OX387520.1"")"
"Influenza A virus genome assembly, segment: 7",1814,1814,100%,0.0,100.00,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387476.1?report=genbank&log$=nucltop&blast_rank=8&RID=CWE8T87X013"",""OX387476.1"")"
"Influenza A virus genome assembly, segment: 7",1814,1814,100%,0.0,100.00,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387122.1?report=genbank&log$=nucltop&blast_rank=9&RID=CWE8T87X013"",""OX387122.1"")"
"Influenza A virus genome assembly, segment: 7",1814,1814,100%,0.0,100.00,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX381546.1?report=genbank&log$=nucltop&blast_rank=10&RID=CWE8T87X013"",""OX381546.1"")"
"Influenza A virus (A/Florida/12950/2022(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1814,1814,100%,0.0,100.00,982,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP098510.1?report=genbank&log$=nucltop&blast_rank=11&RID=CWE8T87X013"",""OP098510.1"")"
"Influenza A virus (A/Delaware/27/2022(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1814,1814,100%,0.0,100.00,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP011275.1?report=genbank&log$=nucltop&blast_rank=12&RID=CWE8T87X013"",""OP011275.1"")"
"Influenza A virus (A/Utah/02/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1810,1810,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR013494.1?report=genbank&log$=nucltop&blast_rank=13&RID=CWE8T87X013"",""OR013494.1"")"
"Influenza A virus (A/Georgia/29/2022(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1810,1810,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ233132.1?report=genbank&log$=nucltop&blast_rank=14&RID=CWE8T87X013"",""OQ233132.1"")"
